Category Name,Orders,Total_Sales,Average_Profit
Fishing,17325,6929653.690575,43.649106331284386
Cleats,24551,4431942.78318506,20.14732270744821
Camping & Hiking,13729,4118425.571019,31.135229667545413
Cardio Equipment,12487,3694843.19662996,30.672787577857612
Women's Apparel,21035,3147800.0,16.658950775723792
Water Sports,15540,3113844.684858,20.923227801642213
Men's Footwear,22246,2891757.6623529997,14.020624841031108
Indoor/Outdoor Games,19298,2888993.9135055,16.501784151424708
Shop By Sport,10984,1309522.04145468,11.818459606229242
Computers,442,663000.0,157.59459314733033
Electronics,3156,371034.64318789,12.956711000521862
Cameras ,592,267607.685032,51.16520261088682
Garden,484,257768.72827639998,69.09712831847314
Children's Clothing,652,232829.20397719997,41.684201835694786
Crafts,484,223356.325324,52.750351364566114
Girls' Apparel,1201,151706.2006334,14.395145689169858
Women's Clothing,650,140283.00474499998,29.388999892436924
Accessories,1780,133671.50882501,9.350292176375842
Sporting Goods,357,117006.75,35.06613478668908
Golf Gloves,1070,116695.390422906,12.126626241231776
Music,434,113122.09735260002,33.26340996048387
Consumer Electronics,431,108991.2821119,30.68074228671694
Golf Shoes,524,107998.0,23.675706379444655
Health and Beauty,362,106080.483077,26.22549716647514
Kids' Golf Clubs,384,98797.57923373,23.556874727963542
Baseball & Softball,632,94057.15254254,20.19324377758386
Boxing & MMA,423,85205.4110869,20.428770700356974
DVDs,483,79395.5423667,13.779358360732918
Golf Balls,1475,77098.15904223,5.6560474738433895
Trade-In,974,68721.77975241,8.12666322887885
Hunting & Shooting,440,56848.42007216,13.590908966588637
Strength Training,111,54895.529536400005,2.993784599342341
Hockey,614,48360.729735400004,8.790602626837133
Men's Golf Clubs,283,47035.80051772,19.4981977995265
Tennis & Racquet,328,44585.09062432,17.52432925727134
Women's Golf Clubs,181,44545.9701316,27.78254104670166
Men's Clothing,208,43856.8012688,9.644422929884616
Pet Supplies,492,41524.80075276,7.295243818321138
Lacrosse,343,39464.78979349,12.72387750493586
Fitness Accessories,309,35601.44054358,17.017443418097088
Golf Apparel,441,34969.75003881,7.928140550786848
Video Games,838,33310.5,3.2428639579188543
Basketball,67,27099.3293434,27.54731348438806
Soccer,138,26477.0498373,28.27499966265942
As Seen on  TV!,68,20597.93996418,10.506323231014706
Books ,405,12587.3999676,2.180271624182716
Baby ,207,12229.56037881,7.367294648647343
Golf Bags & Carts,61,10369.3903355,29.673278565229506
Toys,529,6104.65997884,1.702665407100189
CDs ,271,3059.5899891599997,1.4164206628671587
