Feature,Importance,Importance_Percentage
Shipping Mode_Second Class,0.7635508030105713,76.35508030105713
Shipping Mode_Standard Class,0.08705708524187747,8.705708524187747
Days for shipment (scheduled),0.07358121208597186,7.358121208597186
Shipping Mode_First Class,0.030290075765557676,3.0290075765557676
Sales,0.016771817779735715,1.6771817779735714
Order Item Discount Rate,0.013169948998525027,1.3169948998525027
Shipping Mode_Same Day,0.005842981606144157,0.5842981606144158
Order Item Quantity,0.003374874864729212,0.3374874864729212
Market_USCA,0.0013272741490320196,0.13272741490320197
Market_LATAM,0.001312589873627765,0.1312589873627765
Market_Pacific Asia,0.0012821137405942347,0.12821137405942346
Market_Europe,0.0012621856460070184,0.12621856460070183
Market_Africa,0.001177037237626452,0.11770372376264521
